,year_month,Date,Open,High,Low,Close,Volume,granularity
245,1996-08,1996-08-30,657.4,657.71,650.52,651.99,143544444,month_end
246,1996-09,1996-09-30,686.19,690.11,686.03,687.33,215872222,month_end
247,1996-10,1996-10-31,700.9,706.61,700.35,705.27,268244444,month_end
248,1996-11,1996-11-29,755.0,758.27,755.0,757.02,8327778,month_end
249,1996-12,1996-12-31,753.85,753.95,740.74,740.74,222088889,month_end
250,1997-01,1997-01-31,784.17,791.86,784.17,786.16,321416667,month_end
251,1997-02,1997-02-28,795.07,795.7,788.5,790.82,282377778,month_end
252,1997-03,1997-03-31,773.88,773.88,756.13,757.12,308822222,month_end
253,1997-04,1997-04-30,794.05,804.13,791.21,801.34,308927778,month_end
254,1997-05,1997-05-30,844.08,851.87,831.87,848.28,298444444,month_end
255,1997-06,1997-06-30,887.3,892.62,879.82,885.14,311966667,month_end
256,1997-07,1997-07-31,952.29,957.73,948.89,954.31,304350000,month_end
257,1997-08,1997-08-29,903.67,907.28,896.82,899.47,229950000,month_end
258,1997-09,1997-09-30,953.34,955.17,947.28,947.28,326388889,month_end
259,1997-10,1997-10-31,903.68,919.93,903.68,914.62,354483333,month_end
260,1997-11,1997-11-28,951.64,959.13,951.64,955.4,105038889,month_end
261,1997-12,1997-12-31,970.84,975.02,967.41,970.43,259600000,month_end
262,1998-01,1998-01-30,985.49,987.41,979.63,980.28,340766667,month_end
263,1998-02,1998-02-27,1048.67,1051.66,1044.4,1049.34,319155556,month_end
264,1998-03,1998-03-31,1093.55,1110.13,1093.55,1101.75,374961111,month_end
265,1998-04,1998-04-30,1094.63,1116.97,1094.63,1111.75,386444444,month_end
266,1998-05,1998-05-29,1097.6,1104.16,1090.82,1090.82,309322222,month_end
267,1998-06,1998-06-30,1138.49,1140.8,1131.98,1133.84,420666667,month_end
268,1998-07,1998-07-31,1142.95,1142.97,1114.3,1120.67,358838889,month_end
269,1998-08,1998-08-31,1027.14,1033.47,957.28,957.28,509722222,month_end
270,1998-09,1998-09-30,1049.02,1049.02,1015.73,1017.01,444500000,month_end
271,1998-10,1998-10-30,1085.93,1103.78,1085.93,1098.67,436111111,month_end
272,1998-11,1998-11-30,1192.33,1192.72,1163.63,1163.63,382166667,month_end
273,1998-12,1998-12-31,1231.93,1237.18,1224.96,1229.23,399555556,month_end
274,1999-01,1999-01-29,1265.37,1280.37,1255.18,1279.64,509444444,month_end
275,1999-02,1999-02-26,1245.02,1246.73,1226.24,1238.33,435888889,month_end
276,1999-03,1999-03-31,1300.75,1313.6,1285.87,1286.37,513500000,month_end
277,1999-04,1999-04-30,1342.83,1351.83,1314.58,1335.18,520277778,month_end
278,1999-05,1999-05-28,1281.41,1304.0,1281.41,1301.84,361088889,month_end
279,1999-06,1999-06-30,1351.45,1372.93,1338.78,1372.71,620555556,month_end
280,1999-07,1999-07-30,1341.03,1350.92,1328.49,1328.72,409333333,month_end
281,1999-08,1999-08-31,1324.02,1333.27,1306.96,1320.41,478722222,month_end
282,1999-09,1999-09-30,1268.37,1291.31,1268.37,1282.71,565333333,month_end
